                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.64584,                0.59915,                 1.0725,                0.94316,                0.89044,                0.95273,                0.79261,                0.68974,                 0.4619,                 1.0294,               0.002971,               0.002971,               0.002971
                     73,                0.64431,                0.59689,                 1.0724,                0.94227,                0.88813,                0.95287,                0.79229,                0.68803,                0.46127,                 1.0278,               0.002872,               0.002872,               0.002872
                     74,                0.64278,                0.59035,                 1.0707,                0.94567,                0.88573,                0.95225,                 0.7916,                0.68674,                 0.4609,                 1.0272,               0.002773,               0.002773,               0.002773
                     75,                0.63352,                0.58696,                  1.068,                 0.9427,                0.88679,                0.95229,                0.79247,                0.68516,                0.46136,                 1.0262,               0.002674,               0.002674,               0.002674
                     76,                0.62771,                0.58217,                 1.0645,                0.94852,                0.88207,                0.95205,                0.79274,                0.68447,                0.46166,                 1.0259,               0.002575,               0.002575,               0.002575
                     77,                0.62598,                0.57536,                 1.0623,                0.94278,                0.88697,                0.95178,                0.79315,                0.68322,                0.46194,                 1.0254,               0.002476,               0.002476,               0.002476
                     78,                0.62292,                0.57153,                 1.0602,                 0.9423,                0.88763,                 0.9516,                 0.7937,                0.68232,                0.46269,                 1.0248,               0.002377,               0.002377,               0.002377
                     79,                0.61641,                0.56068,                 1.0584,                0.94116,                0.89001,                0.95145,                0.79336,                0.68122,                0.46183,                 1.0243,               0.002278,               0.002278,               0.002278
                     80,                0.62094,                 0.5634,                 1.0587,                0.93795,                0.89301,                0.95145,                0.79432,                0.67951,                0.46085,                 1.0236,               0.002179,               0.002179,               0.002179
                     81,                0.61589,                0.55983,                 1.0562,                0.94014,                0.89087,                0.95149,                  0.795,                0.67777,                0.46054,                 1.0228,                0.00208,                0.00208,                0.00208
                     82,                0.61372,                0.55649,                 1.0569,                0.94013,                0.89015,                 0.9515,                 0.7955,                0.67615,                0.46003,                 1.0219,               0.001981,               0.001981,               0.001981
                     83,                0.60708,                 0.5501,                 1.0529,                 0.9411,                0.89182,                0.95155,                0.79629,                0.67512,                0.45961,                 1.0215,               0.001882,               0.001882,               0.001882
                     84,                0.60341,                0.54499,                 1.0504,                0.94032,                0.89289,                0.95144,                0.79673,                0.67424,                0.45903,                  1.021,               0.001783,               0.001783,               0.001783
                     85,                0.60081,                0.53606,                 1.0498,                0.94227,                0.88973,                 0.9513,                0.79693,                0.67309,                0.45915,                 1.0206,               0.001684,               0.001684,               0.001684
                     86,                0.60152,                0.53935,                 1.0515,                0.94331,                0.88926,                0.95124,                0.79708,                0.67186,                0.45957,                 1.0201,               0.001585,               0.001585,               0.001585
                     87,                0.60199,                 0.5373,                  1.048,                0.94515,                0.88804,                0.95134,                0.79738,                0.67095,                0.45928,                   1.02,               0.001486,               0.001486,               0.001486
                     88,                0.59249,                0.53259,                 1.0442,                0.94566,                0.88801,                0.95116,                0.79694,                0.66998,                0.45884,                 1.0198,               0.001387,               0.001387,               0.001387
                     89,                0.59169,                0.52901,                 1.0463,                0.94528,                0.88812,                0.95117,                0.79685,                0.66916,                0.45864,                 1.0195,               0.001288,               0.001288,               0.001288
                     90,                0.58889,                0.52182,                  1.046,                0.94474,                0.88881,                0.95107,                0.79708,                0.66857,                0.45842,                 1.0194,               0.001189,               0.001189,               0.001189
                     91,                0.48965,                0.32455,                 1.0026,                0.94376,                0.88881,                0.95118,                0.79705,                0.66807,                0.45842,                 1.0193,                0.00109,                0.00109,                0.00109
                     92,                0.47793,                0.31038,                0.99176,                0.94179,                0.89013,                0.95098,                0.79699,                0.66751,                0.45808,                  1.019,               0.000991,               0.000991,               0.000991
                     93,                0.47041,                0.30158,                0.98894,                0.94189,                0.89113,                0.95097,                0.79704,                0.66737,                 0.4574,                 1.0191,               0.000892,               0.000892,               0.000892
                     94,                0.46406,                0.29277,                0.98278,                0.94225,                0.89178,                0.95095,                0.79765,                 0.6664,                 0.4568,                 1.0187,               0.000793,               0.000793,               0.000793
                     95,                0.46177,                0.29072,                0.98451,                0.94094,                0.89185,                0.95085,                0.79798,                0.66546,                0.45629,                 1.0182,               0.000694,               0.000694,               0.000694
                     96,                0.45346,                0.28364,                0.97836,                0.94103,                0.89339,                0.95082,                0.79854,                0.66463,                0.45578,                 1.0178,               0.000595,               0.000595,               0.000595
                     97,                0.44832,                0.28028,                0.97374,                0.94016,                0.89492,                0.95082,                 0.7988,                0.66339,                 0.4553,                 1.0173,               0.000496,               0.000496,               0.000496
                     98,                0.44278,                0.27419,                0.97133,                0.94021,                 0.8947,                0.95078,                0.79969,                0.66269,                0.45458,                  1.017,               0.000397,               0.000397,               0.000397
                     99,                0.43812,                0.27569,                0.96846,                0.94155,                0.89486,                0.95078,                0.79927,                0.66122,                0.45415,                 1.0161,               0.000298,               0.000298,               0.000298
                    100,                0.43539,                0.27083,                 0.9697,                0.94202,                0.89508,                0.95063,                0.79954,                0.66007,                 0.4543,                 1.0156,               0.000199,               0.000199,               0.000199
